Unnamed: 0,Date,Day of Week,Is Weekday,Is Weekend,Calories Burned,Calories BMR,Steps,Distance (Km),Elevation (Ft),Resting Heart Rate,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Active Score,Cardio minutes,Cardio calories,Fat Burn minutes,Fat Burn calories,Peak minutes,Peak calories,Normal Cardio calories,Normal Cardio minutes,Sleep Efficiency,Minutes Asleep,Minutes to fall asleep,Sleep Start time,Sleep End time,Time in bed,Minutes Deep sleep,Deep sleep count,Minutes Light sleep,Light sleep count,Minutes REM sleep,REM sleep count,Minutes Awake,Minutes Awake count,% Deep sleep,% Light sleep,% REM sleep
83,2018-09-15,6,False,True,2849,1680,8729,5.56,6.1,68.0,2,649,332,8,2,1429,-1,0.0,0.0,156.0,683.68671,0.0,0.0,2146.39586,1273.0,96.0,374.0,0.0,2018-09-16T00:31:00.000,2018-09-16T07:46:30.000,435.0,61.0,4.0,232.0,29.0,81.0,7.0,61.0,27.0,15.0,54.0,19.0
4,2018-06-28,4,True,False,1701,1682,559,0.36,18.29,57.0,6,1025,8,0,0,25,-1,0.0,0.0,0.0,0.0,0.0,0.0,403.96356,329.0,,,,,,,,,,,,,,,,,
42,2018-08-05,7,False,True,2888,1680,11385,7.45,39.62,,13,1084,320,18,18,1536,-1,,,,,,,,,,,,,,,,,,,,,,,,,
40,2018-08-03,5,True,False,2952,1680,11278,6.16,36.58,,12,1440,0,0,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,
10,2018-07-04,3,True,False,3488,1681,14012,9.56,60.96,57.0,20,711,289,43,79,2136,-1,6.0,66.43075,158.0,1039.3085,2.0,26.619,2321.80725,1247.0,90.0,333.0,0.0,2018-07-04T22:47:00.000,2018-07-05T05:20:30.000,393.0,58.0,4.0,223.0,27.0,52.0,6.0,60.0,27.0,15.0,57.0,14.0
47,2018-08-10,5,True,False,3046,1680,8817,5.86,21.34,59.0,7,1154,193,22,71,1546,-1,14.0,148.83075,159.0,906.17499,0.0,0.0,1403.44479,789.0,,,,,,,,,,,,,,,,,
110,2018-10-12,5,True,False,697,563,1081,0.62,0.0,65.0,0,0,32,8,1,167,-1,0.0,0.0,13.0,65.96478,0.0,0.0,603.92094,448.0,,,,,,,,,,,,,,,,,
36,2018-07-30,1,True,False,3182,1680,11774,8.1,179.83,59.0,59,948,287,35,34,1735,-1,8.0,81.5733,176.0,884.9361,0.0,0.0,1920.4152,1026.0,96.0,418.0,0.0,2018-07-30T22:29:00.000,2018-07-31T06:23:30.000,474.0,66.0,4.0,266.0,41.0,86.0,7.0,56.0,38.0,14.0,57.0,19.0
70,2018-09-02,7,False,True,2980,1680,11392,7.06,27.43,61.0,9,578,310,27,27,1616,-1,0.0,0.0,108.0,645.99584,0.0,0.0,2309.41179,1317.0,96.0,338.0,0.0,2018-09-02T23:52:30.000,2018-09-03T06:23:30.000,391.0,74.0,3.0,218.0,28.0,46.0,6.0,53.0,28.0,19.0,56.0,12.0
11,2018-07-05,4,True,False,3833,1681,15603,11.62,24.38,56.0,8,634,249,36,128,2474,-1,49.0,548.37475,167.0,1105.6225,2.0,25.9185,2120.18,1201.0,97.0,394.0,0.0,2018-07-05T22:36:00.000,2018-07-06T05:58:30.000,442.0,76.0,4.0,252.0,26.0,66.0,5.0,48.0,25.0,18.0,58.0,15.0
